time,node,event,source,destination,msgID
0.328,1,SEND_MSG,1,0,1
0.674,1,SEND_MSG,1,0,2
0.781,1,SEND_MSG,1,0,3
1.328,0,RECV_MSG,1,0,1
1.350,1,SEND_MSG,1,0,4
1.458,1,SEND_MSG,1,0,5
1.482,0,MSG_DEPT,1,0,1
1.490,1,SEND_MSG,1,0,6
1.674,0,RECV_MSG,1,0,2
1.685,0,MSG_DEPT,1,0,2
1.781,0,RECV_MSG,1,0,3
1.964,1,SEND_MSG,1,0,7
2.111,0,MSG_DEPT,1,0,3
2.221,1,SEND_MSG,1,0,8
2.350,0,RECV_MSG,1,0,4
2.458,0,RECV_MSG,1,0,5
2.461,0,MSG_DEPT,1,0,4
2.490,0,RECV_MSG,1,0,6
2.541,0,MSG_DEPT,1,0,5
2.578,0,MSG_DEPT,1,0,6
