modele,lambda,mu,serveurs,capacite,T,rho,arrivees,acceptes,rejets,departs,taux_rejet,lambda_eff,N_systeme,N_file,W_systeme,W_file,little_L,little_Lq,th_rho,th_L,th_Lq,th_W,th_Wq,th_rejet
M/M/1,4,8,1,,100000.0,0.5,394929,394929,0,394928,0.0,3.989181818181818,0.994414573294792,0.4968405479028039,0.24927845773453494,0.1245469799441864,0.9944170912590116,0.4968405479028039,0.5,1.0,0.5,0.25,0.125,0.0
M/M/1,6,8,1,,100000.0,0.75,594053,594053,0,594050,0.0,6.000535353535353,3.010695059663269,2.2604549812345014,0.5017387527335261,0.3767095572124817,3.010701124016256,2.2604590160681455,0.75,3.0,2.25,0.5,0.375,0.0
M/M/1,8,8,1,,100000.0,1.0,792404,792404,0,790535,0.0,8.004080808080808,921.4796674280011,920.4818516600265,115.12044619447809,114.99566483215881,921.4333540029213,920.4345938955754,1.0,inf,inf,inf,inf,0.0
M/M/1,12,8,1,,100000.0,1.5,1188737,1188737,0,788121,0.0,12.007444444444445,202245.86979704944,202244.86979784965,16925.299285262397,16925.19512330706,203229.5908733835,203228.3401544916,1.5,inf,inf,inf,inf,0.0
M/M/1/4,4,8,1,4,100000.0,0.5,395366,382733,12633,382733,0.03195267170166378,3.865989898989899,0.8354037623610505,0.35275268759579964,0.21609051864810194,0.09124511362224884,0.8354037623610505,0.35275268759579964,0.5,0.8387,0.3548,0.2167,0.0917,0.0323
M/M/1/4,6,8,1,4,100000.0,0.75,593072,531886,61186,531884,0.10316791215906332,5.372585858585858,1.441110833330404,0.7701096632148066,0.2682350766609824,0.14334086627422443,1.4411159796454875,0.7701111111023448,0.75,1.4443,0.7721,0.2686,0.1436,0.1037
M/M/1/4,8,8,1,4,100000.0,1.0,792915,633882,159033,633882,0.2005675261534969,6.402848484848485,2.0021623469797705,1.2012048647989724,0.31269869210830514,0.18760476179336,2.0021623469797643,1.201204864798976,1.0,2.0,1.2,0.3125,0.1875,0.2
M/M/1/4,12,8,1,4,100000.0,1.5,1189042,732314,456728,732311,0.38411427014352734,7.397111111111111,2.7590898920616205,1.8348663650003025,0.3729962853192684,0.24805205655624502,2.7590949665383304,1.8348686236861618,1.5,2.7583,1.8341,0.3731,0.2481,0.3839
M/M/1/8,4,8,1,8,100000.0,0.5,395579,394716,863,394716,0.002181612269609863,3.987030303030303,0.9816689038858633,0.483547037710538,0.24621532973412466,0.12128000064183682,0.981667980720553,0.483547037710538,0.5,0.9824,0.4834,0.2461,0.1211,0.002
M/M/1/8,6,8,1,8,100000.0,0.75,593779,577865,15914,577865,0.026801217287913518,5.837020202020202,2.2644768239485042,1.534465976168163,0.3879505696736785,0.2628851576763671,2.2644753125705077,1.5344659761682211,0.75,2.2694,1.5397,0.3887,0.2637,0.0271
M/M/1/8,8,8,1,8,100000.0,1.0,791818,704667,87151,704660,0.11006443399872193,7.117848484848484,3.9932004984118117,3.1043790676294782,0.5610076703580397,0.4361364430289407,3.9931675964463507,3.104353120200753,1.0,4.0,3.1111,0.5625,0.4375,0.1111
M/M/1/8,12,8,1,8,100000.0,1.5,1188863,781982,406881,781981,0.34224380773899093,7.898808080808081,6.2430517064364786,5.256217073818295,0.7903739899735955,0.6654394944183787,6.243012458863961,5.256178855800734,1.5,6.2404,5.2537,0.7906,0.6656,0.3422
M/M/3/8,4,8,3,8,100000.0,0.16666666666666666,395688,395687,1,395686,2.52724368694527e-06,3.9968383838383836,0.5025818867871634,0.0030862439886481107,0.12574517873245245,0.000772171324496794,0.5025831569404839,0.0030862439886481102,0.1667,0.503,0.003,0.1258,0.0008,0.0
M/M/3/8,6,8,3,8,100000.0,0.25,592876,592856,20,592856,3.373386677821332e-05,5.988444444444444,0.7618006184036363,0.01451731784423675,0.12721177018021237,0.0024242218457423696,0.7618006184036362,0.01451731784423675,0.25,0.7646,0.0146,0.1274,0.0024,0.0
M/M/3/8,8,8,3,8,100000.0,0.3333333333333333,793273,793086,187,793085,0.0002357322132481504,8.010969696969697,1.0459489107400373,0.04417948219382325,0.13056427947588586,0.005514873213230975,1.0459464863880041,0.04417948219382325,0.3333,1.0444,0.0446,0.1306,0.0056,0.0002
M/M/3/8,12,8,3,8,100000.0,0.5,1189163,1184937,4226,1184933,0.0035537600816708897,11.969060606060607,1.7053751861970723,0.21011970070701977,0.14248201796379162,0.017555249346681283,1.705375908282438,0.21011984338493414,0.5,1.7061,0.2117,0.1427,0.0177,0.0037
